tahun,negara,id_negara,provinsi,id_provinsi,pulau,id_pulau,luas_hutan_ha,emisi_co2_ton,deforestasi_ha
2013,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3460246.607,5802208.499,14617.30341
2014,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3439432.938,8404579.731,20813.66859
2015,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3426646.313,5427615.739,12786.62541
2016,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3411504.748,6444893.766,15141.56506
2017,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3398590.915,5526883.381,12913.83318
2018,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3385312.295,5787389.827,13278.62012
2019,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3377339.345,3562152.599,7972.95
2020,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3369827.023,3266733.032,7512.321529
2021,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3362802.118,3056592.581,7024.905529
2022,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3355018.402,3297145.592,7783.715647
2013,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63623.54082,359.4470616,0.81
2014,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63609.41082,6578.929737,14.13
2015,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63600.14082,3591.480652,9.27
2016,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63570.44082,12703.65461,29.7
2017,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63564.32082,2479.934756,6.12
2018,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63465.41082,43161.70183,98.91
2019,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63403.40118,26116.30584,62.00964706
2020,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63342.47118,26007.52513,60.93
2021,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63307.28153,15636.92122,35.18964706
2022,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63264.08153,17891.80289,43.2
2013,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65845.03165,310.1484028,0.81
2014,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65838.45071,1300.288328,6.580941176
2015,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65836.92071,257.41947,1.53
2016,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65751.33106,27122.77123,85.58964706
2017,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65742.26118,1681.001981,9.069882353
2018,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65731.99624,3435.669115,10.26494118
2019,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65149.35035,153408.7438,582.6458824
2020,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65099.87612,14144.54015,49.47423529
2021,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65087.01565,3152.96133,12.86047059
2022,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65084.13565,910.1903897,2.88
2013,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,238466.3001,967450.7982,1732.230353
2014,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,236825.544,894209.733,1640.756118
2015,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,234659.1335,1162870.421,2166.410471
2016,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,232705.3454,1040482.965,1953.788118
2017,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,230034.6635,1443635.569,2670.681882
2018,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,228050.0301,1054876.21,1984.633412
2019,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,226999.6609,566287.6162,1050.369176
2020,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,226017.0784,519810.5935,982.5825882
2021,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,224847.6773,641932.6371,1169.401059
2022,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,222415.8716,1299372.964,2431.805647
2013,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2014,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2015,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2016,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2017,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2018,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2019,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2020,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8,0.0,0.0
2021,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,9.81,323.1136923,0.99
2022,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,9.72,28.90801284,0.09
2013,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2014,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2015,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2016,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2017,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2018,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2019,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2020,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2021,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2022,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706,0.0,0.0
2013,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,330585.4768,1991249.479,3836.126471
2014,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,324774.9889,2879610.837,5810.487882
2015,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,319412.4462,2660901.624,5362.542706
2016,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,315783.7659,1776021.268,3628.680353
2017,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,314223.0222,737377.9186,1560.743647
2018,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,311962.0761,1134577.454,2260.946118
2019,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,310155.1514,871757.4556,1806.924706
2020,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,309393.8541,369924.5605,761.2972941
2021,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,309076.6119,155887.6073,317.2422353
2022,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,308567.0552,262598.9948,509.5567059
2013,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1707816.733,11720474.86,28880.66541
2014,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1680991.662,11054496.95,26825.07106
2015,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1656067.493,10001186.8,24924.16835
2016,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1545354.107,43971351.24,110713.386
2017,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1528100.355,7589012.544,17253.75247
2018,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1515514.64,5290491.249,12585.71506
2019,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1479650.623,14733726.11,35864.01671
2020,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1466060.651,5864688.73,13589.97176
2021,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1456638.479,3934754.515,9422.172
2022,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1445552.749,4921584.048,11085.72988
2013,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,292454.8599,50996.25846,115.9154118
2014,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,292240.1432,99782.96929,214.7167059
2015,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,292178.0432,29286.93901,62.1
2016,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,291827.2401,172749.3289,350.8030588
2017,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,291664.7933,72706.13424,162.4468235
2018,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,291566.6153,42314.43882,98.178
2019,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,291500.5578,29449.6766,66.05752941
2020,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,291361.5088,65500.09462,139.0489412
2021,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,291284.4724,32949.58197,77.03647059
2022,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,291174.0431,51781.5993,110.4292941
2013,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87613.61118,5942.868005,11.88
2014,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87557.99118,25204.12042,55.62
2015,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87532.70118,11289.86695,25.29
2016,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87466.64259,30842.57189,66.05858824
2017,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87354.05471,54479.1495,112.5878824
2018,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87331.91647,8143.647662,22.13823529
2019,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87297.17647,15118.93011,34.74
2020,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87218.26729,32566.11163,78.90917647
2021,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87100.09976,55484.10351,118.1675294
2022,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87051.32153,22196.72204,48.77823529
2013,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,261583.5526,45402.21878,113.76
2014,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,260856.5679,303541.6701,726.9847059
2015,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,260721.2082,56107.58748,135.3596471
2016,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,260343.3925,168894.9223,377.8157647
2017,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,260205.9653,58661.48615,137.4271765
2018,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,260075.8264,56238.19198,130.1389412
2019,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,259799.2599,121293.5902,276.5664706
2020,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,258989.3615,353165.7899,809.8983529
2021,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,258890.8115,42140.98231,98.55
2022,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,258780.8315,46633.77774,109.98
2013,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8945213.122,35840024.0,90807.70976
2014,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8829406.487,45525509.48,115806.6356
2015,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8713610.996,43999168.9,115795.4908
2016,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8627890.125,33902159.72,85720.87024
2017,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8585280.723,18041775.39,42609.40271
2018,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8551054.013,14789505.98,34226.71024
2019,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8504071.826,18002831.62,46982.18612
2020,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8469772.509,14917028.48,34299.31694
2021,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8445489.069,10664493.26,24283.44035
2022,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,8411437.014,14436589.08,34052.05518
2013,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,942286.6186,2957811.035,7533.393882
2014,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,932941.2116,3507708.663,9345.406941
2015,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,918116.4893,5712274.217,14824.72235
2016,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,901612.848,7265133.101,16503.64129
2017,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,891642.8679,3883136.281,9969.980118
2018,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,883951.8988,3020864.879,7690.969059
2019,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,876978.0515,2621428.091,6973.847294
2020,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,871029.0667,2232076.734,5948.984824
2021,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,868196.9838,1214816.798,2832.082941
2022,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,864138.6459,1594748.617,4058.337882
2013,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,7322073.089,19326868.42,46394.44341
2014,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,7247139.761,30485278.69,74933.32871
2015,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,7150386.881,36749590.56,96752.87929
2016,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6849605.178,104763700.7,300781.7036
2017,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6812597.181,16425088.62,37007.99612
2018,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6769456.83,19579331.09,43140.35188
2019,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6709267.937,21473280.72,60188.89235
2020,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6669163.53,17740906.61,40104.40765
2021,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6649166.522,9101976.367,19997.00753
2022,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6619953.815,12986125.62,29212.70753
2013,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6292546.285,20028963.17,40688.29835
2014,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6234303.76,28254880.64,58242.52553
2015,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6190179.649,21233931.79,44124.11118
2016,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6138504.967,24671941.94,51674.68165
2017,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6105502.353,15910533.16,33002.61353
2018,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6061168.209,22025777.35,44334.144
2019,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6026776.424,17111261.51,34391.78541
2020,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6008484.42,8834126.869,18292.00447
2021,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,5993452.73,7150128.044,15031.68918
2022,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,5978207.503,7422790.696,15245.22776
2013,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3756149.811,10450067.27,22215.14718
2014,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3721919.468,16068240.18,34230.34341
2015,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3694666.768,12858124.88,27252.69953
2016,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3676075.104,8465216.09,18591.66459
2017,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3659220.358,7755482.582,16854.74541
2018,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3641092.106,8443201.785,18128.25176
2019,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3625698.047,6901429.441,15394.05953
2020,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3612918.622,5826097.33,12779.42506
2021,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3601514.463,5436850.553,11404.15906
2022,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3590510.554,5265480.256,11003.90859
2013,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,226467.3713,1323822.404,3657.035294
2014,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,219683.8927,2425116.415,6783.478588
2015,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,212628.6141,2546063.462,7055.278588
2016,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,201020.6008,3643153.418,11608.01329
2017,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,198410.712,937413.343,2609.888824
2018,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,196365.1129,667860.3198,2045.599059
2019,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,194503.0274,624592.0797,1862.085529
2020,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,192064.2406,799320.2126,2438.786824
2021,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,189328.6271,909953.6136,2735.613529
2022,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,187000.9059,781171.9991,2327.721176
2013,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,209570.7134,920680.3246,2249.683765
2014,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,201303.4754,3390726.991,8267.238
2015,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,199847.9301,570515.413,1455.545294
